SUMLEV,STATE,COUNTY,STNAME,CNTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
040,72,000,Puerto Rico,Puerto Rico,3725789,3726157,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325284,3193344,3193553,3167851,3159343
050,72,001,Puerto Rico,Adjuntas Municipio,19483,19483,19472,19297,19116,19021,18795,18568,18306,17935,17282,17332,17242,17213
050,72,003,Puerto Rico,Aguada Municipio,41959,41959,41913,41531,41102,40706,40131,39546,38899,38018,36610,36664,36424,36343
050,72,005,Puerto Rico,Aguadilla Municipio,60949,60949,60766,59976,58976,58038,57086,55818,54416,52911,50558,50245,49786,49632
050,72,007,Puerto Rico,Aguas Buenas Municipio,28659,28662,28655,28337,28056,27787,27355,26927,26416,25828,24803,24843,24660,24598
050,72,009,Puerto Rico,Aibonito Municipio,25900,25900,25874,25537,25204,24881,24455,24040,23594,23055,22125,22107,21912,21844
050,72,011,Puerto Rico,Añasco Municipio,29261,29261,29265,29096,28851,28621,28319,27948,27561,26981,26038,26177,26059,26016
050,72,013,Puerto Rico,Arecibo Municipio,96440,96440,96222,95012,93839,92957,91239,89628,87806,85421,82094,81999,81320,81090
050,72,015,Puerto Rico,Arroyo Municipio,19575,19575,19573,19432,19244,19069,18818,18530,18221,17817,17159,17224,17124,17091
050,72,017,Puerto Rico,Barceloneta Municipio,24816,24816,24827,24820,24806,24832,24770,24614,24449,24161,23462,23737,23757,23756
050,72,019,Puerto Rico,Barranquitas Municipio,30318,30318,30324,30191,30015,29871,29596,29299,28940,28460,27480,27683,27594,27565
050,72,021,Puerto Rico,Bayamón Municipio,208116,208108,207649,204469,200996,197491,193080,188769,183967,178496,170326,169185,167167,166499
050,72,023,Puerto Rico,Cabo Rojo Municipio,50917,50917,50971,50803,50648,50545,50165,49778,49348,48610,47113,47464,47374,47352
050,72,025,Puerto Rico,Caguas Municipio,142893,142917,142863,141507,140101,138677,136622,134383,132124,129238,124333,124555,123701,123421
050,72,027,Puerto Rico,Camuy Municipio,35159,35159,35124,34777,34393,34059,33532,33001,32387,31686,30471,30525,30322,30261
050,72,029,Puerto Rico,Canóvanas Municipio,47648,47639,47685,47661,47646,47546,47276,46897,46385,45688,44259,44662,44619,44604
050,72,031,Puerto Rico,Carolina Municipio,176762,176762,176425,173845,171117,168507,165303,161861,158320,154124,147505,146983,145459,144958
050,72,033,Puerto Rico,Cataño Municipio,28140,28147,28091,27641,27192,26783,26237,25629,25046,24318,23231,23109,22864,22788
050,72,035,Puerto Rico,Cayey Municipio,48119,48119,48111,47671,47225,46769,46126,45471,44815,43897,42323,42431,42232,42165
050,72,037,Puerto Rico,Ceiba Municipio,13631,13631,13611,13353,13088,12870,12550,12238,11916,11544,11005,10894,10726,10678
050,72,039,Puerto Rico,Ciales Municipio,18782,18782,18753,18467,18204,17977,17689,17353,17017,16584,15888,15833,15669,15618
050,72,041,Puerto Rico,Cidra Municipio,43480,43480,43483,43167,42776,42458,41862,41231,40606,39728,38235,38301,38086,38015
